,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 12,2017-1-24
17,17,17,17,17,17,Carrot, 1, 24,2017-1-24
18,18,18,18,18,18,Beetroot, 1, 24,2017-1-24
19,19,19,19,19,19,Soya Beans, 1, 90,2017-1-24
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-24
21,21,21,21,21,21,Butter beans, 1, –,2017-1-24
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 4,2017-1-24
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-24
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-24
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-24
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-24
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-24
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-24
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-24
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-24
31,31,31,31,31,31,Papaya / Papali, 1, 20,2017-1-24
32,32,32,32,32,32,Sav Sav, 1, 24,2017-1-24
33,33,33,33,33,33,Sapotta, 1, –,2017-1-24
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-24
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 50,2017-1-26
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 18,2017-1-26
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 30,2017-1-26
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 14,2017-1-26
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 30,2017-1-26
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-26
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 15,2017-1-26
7,7,7,7,7,7,Beans / Avarai Kai, 1, 12,2017-1-26
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 22,2017-1-26
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-26
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 25,2017-1-26
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-26
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-26
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 24,2017-1-26
14,14,14,14,14,14,Radish / Mulangi, 1, 20,2017-1-26
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-26
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 12,2017-1-26
17,17,17,17,17,17,Carrot, 1, 24,2017-1-26
18,18,18,18,18,18,Beetroot, 1, 24,2017-1-26
19,19,19,19,19,19,Soya Beans, 1, 90,2017-1-26
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-26
21,21,21,21,21,21,Butter beans, 1, –,2017-1-26
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 4,2017-1-26
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-26
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-26
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-26
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-26
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-26
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-26
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-26
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-26
31,31,31,31,31,31,Papaya / Papali, 1, 20,2017-1-26
32,32,32,32,32,32,Sav Sav, 1, 24,2017-1-26
33,33,33,33,33,33,Sapotta, 1, –,2017-1-26
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-26
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 50,2017-1-27
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 18,2017-1-27
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 30,2017-1-27
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 14,2017-1-27
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 30,2017-1-27
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-27
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 15,2017-1-27
7,7,7,7,7,7,Beans / Avarai Kai, 1, 12,2017-1-27
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 22,2017-1-27
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-27
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 25,2017-1-27
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-27
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-27
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 24,2017-1-27
14,14,14,14,14,14,Radish / Mulangi, 1, 20,2017-1-27
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-27
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 8,2017-1-27
17,17,17,17,17,17,Carrot, 1, 18,2017-1-27
18,18,18,18,18,18,Beetroot, 1, 20,2017-1-27
19,19,19,19,19,19,Soya Beans, 1, 90,2017-1-27
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-27
21,21,21,21,21,21,Butter beans, 1, –,2017-1-27
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 4,2017-1-27
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-27
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-27
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-27
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-27
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-27
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-27
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-27
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-27
31,31,31,31,31,31,Papaya / Papali, 1, 20,2017-1-27
32,32,32,32,32,32,Sav Sav, 1, 18,2017-1-27
33,33,33,33,33,33,Sapotta, 1, –,2017-1-27
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-27
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 50,2017-1-28
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 18,2017-1-28
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 30,2017-1-28
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 14,2017-1-28
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 30,2017-1-28
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-28
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 15,2017-1-28
7,7,7,7,7,7,Beans / Avarai Kai, 1, 12,2017-1-28
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 22,2017-1-28
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-28
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 25,2017-1-28
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-28
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-28
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 24,2017-1-28
14,14,14,14,14,14,Radish / Mulangi, 1, 20,2017-1-28
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-28
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 8,2017-1-28
17,17,17,17,17,17,Carrot, 1, 18,2017-1-28
18,18,18,18,18,18,Beetroot, 1, 20,2017-1-28
19,19,19,19,19,19,Soya Beans, 1, 90,2017-1-28
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-28
21,21,21,21,21,21,Butter beans, 1, –,2017-1-28
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 4,2017-1-28
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-28
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-28
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-28
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-28
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-28
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-28
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-28
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-28
31,31,31,31,31,31,Papaya / Papali, 1, 20,2017-1-28
32,32,32,32,32,32,Sav Sav, 1, 18,2017-1-28
33,33,33,33,33,33,Sapotta, 1, –,2017-1-28
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-28
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 56,2017- 1-7
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 10,2017- 1-7
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 30,2017- 1-7
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 18,2017- 1-7
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 24,2017- 1-7
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017- 1-7
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 20,2017- 1-7
7,7,7,7,7,7,Beans / Avarai Kai, 1, 32,2017- 1-7
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 18,2017- 1-7
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 70,2017- 1-7
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 20,2017- 1-7
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017- 1-7
12,12,12,12,12,12,Ginger / Inji, 1, –,2017- 1-7
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 24,2017- 1-7
14,14,14,14,14,14,Radish / Mulangi, 1, 18,2017- 1-7
15,15,15,15,15,15,Mango / Maa, 1, –,2017- 1-7
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 10,2017- 1-7
17,17,17,17,17,17,Carrot, 1, 26,2017- 1-7
18,18,18,18,18,18,Beetroot, 1, 22,2017- 1-7
19,19,19,19,19,19,Soya Beans, 1, 130,2017- 1-7
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017- 1-7
21,21,21,21,21,21,Butter beans, 1, –,2017- 1-7
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 5,2017- 1-7
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017- 1-7
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017- 1-7
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017- 1-7
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, 15,2017- 1-7
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017- 1-7
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017- 1-7
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017- 1-7
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017- 1-7
31,31,31,31,31,31,Papaya / Papali, 1, 25,2017- 1-7
32,32,32,32,32,32,Sav Sav, 1, 18,2017- 1-7
33,33,33,33,33,33,Sapotta, 1, –,2017- 1-7
34,34,34,34,34,34,Puli / Tamarind, 1, 90,2017- 1-7
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 60,2017- 1-9
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 10,2017- 1-9
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 34,2017- 1-9
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 16,2017- 1-9
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 36,2017- 1-9
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017- 1-9
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 20,2017- 1-9
7,7,7,7,7,7,Beans / Avarai Kai, 1, 34,2017- 1-9
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 18,2017- 1-9
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017- 1-9
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 18,2017- 1-9
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017- 1-9
12,12,12,12,12,12,Ginger / Inji, 1, –,2017- 1-9
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 26,2017- 1-9
14,14,14,14,14,14,Radish / Mulangi, 1, 16,2017- 1-9
15,15,15,15,15,15,Mango / Maa, 1, –,2017- 1-9
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 12,2017- 1-9
17,17,17,17,17,17,Carrot, 1, 20,2017- 1-9
18,18,18,18,18,18,Beetroot, 1, 24,2017- 1-9
19,19,19,19,19,19,Soya Beans, 1, 120,2017- 1-9
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017- 1-9
21,21,21,21,21,21,Butter beans, 1, –,2017- 1-9
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 5,2017- 1-9
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017- 1-9
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017- 1-9
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017- 1-9
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017- 1-9
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017- 1-9
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017- 1-9
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017- 1-9
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017- 1-9
31,31,31,31,31,31,Papaya / Papali, 1, 25,2017- 1-9
32,32,32,32,32,32,Sav Sav, 1, 24,2017- 1-9
33,33,33,33,33,33,Sapotta, 1, –,2017- 1-9
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017- 1-9
